school,logo
Wittenberg,http://a.espncdn.com/i/teamlogos/ncaa/500/2746.png
Wofford,http://a.espncdn.com/i/teamlogos/ncaa/500/2747.png
Wooster,http://a.espncdn.com/i/teamlogos/ncaa/500/2748.png
Worcester Polytechnic,http://a.espncdn.com/i/teamlogos/ncaa/500/2749.png
Worcester State College,http://a.espncdn.com/i/teamlogos/ncaa/500/402.png
Wright State University,http://a.espncdn.com/i/teamlogos/ncaa/500/2750.png
WV State,http://a.espncdn.com/i/teamlogos/ncaa/500/2707.png
WV Wesleyan,http://a.espncdn.com/i/teamlogos/ncaa/500/455.png
Wyoming,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
Yale,http://a.espncdn.com/i/teamlogos/ncaa/500/43.png
Youngstown State,http://a.espncdn.com/i/teamlogos/ncaa/500/2754.png
